Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes_log
FALSE,accepted,1,FALSE,TRUE,63,0,FALSE,0.602059991
FALSE,accepted,5,TRUE,TRUE,13,0,FALSE,1.672097858
FALSE,accepted,0,FALSE,FALSE,76,0,FALSE,1.278753601
TRUE,verified,3,FALSE,TRUE,84,3,TRUE,2.514547753
FALSE,accepted,0,TRUE,TRUE,85,0,FALSE,1.505149978
FALSE,accepted,0,FALSE,FALSE,45,1,FALSE,0
FALSE,accepted,0,TRUE,TRUE,68,0,FALSE,0.477121255
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,53,0,FALSE,0
FALSE,accepted,4,FALSE,FALSE,71,0,FALSE,1.579783597
FALSE,accepted,0,FALSE,FALSE,53,0,FALSE,0.477121255
FALSE,accepted,0,FALSE,FALSE,30,0,FALSE,1.146128036
FALSE,accepted,0,FALSE,FALSE,114,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,32,0,FALSE,1.698970004
FALSE,accepted,1,FALSE,TRUE,52,0,FALSE,0.698970004
FALSE,accepted,3,TRUE,TRUE,83,2,FALSE,1.939519253
FALSE,accepted,0,TRUE,TRUE,108,3,FALSE,2.283301229
FALSE,accepted,0,TRUE,TRUE,12,3,FALSE,1.716003344
FALSE,accepted,1,FALSE,FALSE,167,0,FALSE,1.591064607
FALSE,unreviewed,0,FALSE,FALSE,152,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,1.322219295
FALSE,unreviewed,0,FALSE,FALSE,66,0,FALSE,0
FALSE,accepted,2,TRUE,FALSE,225,0,FALSE,2.445604203
FALSE,accepted,0,TRUE,TRUE,25,0,FALSE,1.255272505
FALSE,accepted,0,FALSE,TRUE,60,0,FALSE,0.903089987
FALSE,unreviewed,0,TRUE,FALSE,146,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,46,0,FALSE,0.77815125
FALSE,accepted,1,TRUE,TRUE,40,0,FALSE,1.77815125
FALSE,accepted,1,TRUE,FALSE,17,0,FALSE,1.462397998
FALSE,accepted,0,FALSE,FALSE,75,1,FALSE,1.146128036
TRUE,verified,43,TRUE,FALSE,30,9,TRUE,2.324282455
FALSE,accepted,0,TRUE,TRUE,25,3,FALSE,1.431363764
FALSE,accepted,0,TRUE,FALSE,23,1,FALSE,0
FALSE,accepted,0,FALSE,TRUE,216,0,FALSE,1.919078092
FALSE,accepted,3,FALSE,FALSE,71,0,FALSE,0.602059991
FALSE,accepted,0,TRUE,TRUE,15,0,FALSE,0.903089987
FALSE,accepted,0,FALSE,FALSE,35,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,22,0,FALSE,0
